-1,city,lat,lng,country
299,Lamam,15.4171,106.6946,Laos
300,Pakxe,15.1221,105.8183,Laos
301,Attapu,14.8080,106.8390,Laos
302,Xam Nua,20.4167,104.0333,Laos
303,Muang Xai,20.6923,101.9847,Laos
304,Saravan,15.7160,106.4270,Laos
305,Champasak,14.8833,105.8667,Laos
306,Beirut,33.8720,35.5097,Lebanon
307,Zahlé,33.8501,35.9042,Lebanon
308,Baalbek,34.0058,36.2181,Lebanon
309,B'abda,33.8333,35.5333,Lebanon
310,Halba,34.5428,36.0797,Lebanon
311,Saida,33.5630,35.3688,Lebanon
312,Nabatiye et Tahta,33.3833,35.4500,Lebanon
313,Trablous,34.4200,35.8700,Lebanon
314,Castries,14.0020,-61.0000,Saint Lucia
315,Gamprin,47.2197,9.5113,Liechtenstein
316,Triesenberg,47.1182,9.5444,Liechtenstein
317,Schaan,47.1661,9.5096,Liechtenstein
318,Ruggell,47.2408,9.5247,Liechtenstein
319,Mauren,47.2205,9.5426,Liechtenstein
320,Eschen,47.2109,9.5216,Liechtenstein
321,Triesen,47.1101,9.5240,Liechtenstein
322,Balzers,47.0667,9.5025,Liechtenstein
323,Vaduz,47.1337,9.5167,Liechtenstein
324,Planken,47.1844,9.5436,Liechtenstein
325,Schellenberg,47.2325,9.5463,Liechtenstein
326,Colombo,6.9320,79.8578,Sri Lanka
327,Ratnapura,6.6930,80.3860,Sri Lanka
328,Matara,5.9490,80.5428,Sri Lanka
329,Sri Jawewardenepura Kotte,6.9000,79.9500,Sri Lanka
330,Moratuwa,6.7804,79.8800,Sri Lanka
331,Anuradhapura,8.3500,80.3833,Sri Lanka
332,Galle,6.0300,80.2400,Sri Lanka
333,Puttalan,8.0330,79.8260,Sri Lanka
334,Kandy,7.2800,80.6700,Sri Lanka
335,Badulla,6.9837,81.0499,Sri Lanka
336,Trincomalee,8.5690,81.2330,Sri Lanka
337,Kilinochchi,9.4004,80.3999,Sri Lanka
338,Batticaloa,7.7170,81.7000,Sri Lanka
339,Jaffna,9.6750,80.0050,Sri Lanka
340,Bopolu,7.0667,-10.4875,Liberia
341,Voinjama,8.4167,-9.7500,Liberia
342,Robertsport,6.7533,-11.3686,Liberia
343,Buchanan,5.9161,-10.0525,Liberia
344,Monrovia,6.3106,-10.8048,Liberia
345,Tubmanburg,6.8706,-10.8211,Liberia
346,Buchanan,5.8811,-10.0447,Liberia
347,Zwedru,6.0704,-8.1300,Liberia
348,Barclayville,4.8000,-8.1667,Liberia
349,Rivercess,5.4650,-9.5780,Liberia
350,Fish Town,5.1974,-7.8758,Liberia
351,Gbarnga,7.0104,-9.4900,Liberia
352,Kakata,6.5260,-10.3490,Liberia
353,Sanniquellie,7.3710,-8.6850,Liberia
354,Greenville,5.0111,-9.0388,Liberia
355,Bensonville,6.4333,-10.6000,Liberia
356,Harper,4.3754,-7.7170,Liberia
357,Maseru,-29.3167,27.4833,Lesotho
358,Mokhotlong,-29.2910,29.0780,Lesotho
359,Thaba-Tseka,-29.5220,28.6084,Lesotho
360,Moyeni,-30.4110,27.7160,Lesotho
361,Qacha’s Nek,-30.1154,28.6894,Lesotho
362,Mafetang,-29.8166,27.2500,Lesotho
363,Hlotse,-28.8780,28.0560,Lesotho
364,Teyateyaneng,-29.1530,27.7530,Lesotho
365,Mohales Hoek,-30.1590,27.4800,Lesotho
366,Butha-Buthe,-28.7500,28.2500,Lesotho
367,Klaipėda,55.7204,21.1199,Lithuania
368,Palanga,55.9203,21.0710,Lithuania
369,Nida,55.3086,20.9965,Lithuania
370,Kretinga,55.8888,21.2445,Lithuania
371,Tauragė,55.2522,22.2897,Lithuania
372,Šilutė,55.3453,21.4733,Lithuania
373,Rietavas,55.7271,21.9234,Lithuania
