148,Hall Beach Airport,68.77610015869999,-81.2425,YUX,CYUX,airport,OurAirports
149,Rouyn Noranda Airport,48.20610046386719,-78.83560180664062,YUY,CYUY,airport,OurAirports
150,La Ronge Airport,55.151401519800004,-105.262001038,YVC,CYVC,airport,OurAirports
151,Vermilion Airport,53.355800628699996,-110.823997498,YVG,CYVG,airport,OurAirports
152,Qikiqtarjuaq Airport,67.5457992554,-64.03140258789999,YVM,CYVM,airport,OurAirports
153,Val-d'Or Airport,48.0532989502,-77.7827987671,YVO,CYVO,airport,OurAirports
154,Kuujjuaq Airport,58.096099853515625,-68.4269027709961,YVP,CYVP,airport,OurAirports
155,Norman Wells Airport,65.28160095214844,-126.7979965209961,YVQ,CYVQ,airport,OurAirports
156,Vancouver International Airport,49.193901062,-123.183998108,YVR,CYVR,airport,OurAirports
157,Buffalo Narrows Airport,55.8418998718,-108.417999268,YVT,CYVT,airport,OurAirports
158,Wiarton Airport,44.7458,-81.107201,YVV,CYVV,airport,OurAirports
159,Petawawa Airport,45.95220184326172,-77.31919860839844,YWA,CYWA,airport,OurAirports
160,Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816,YWG,CYWG,airport,OurAirports
161,Wabush Airport,52.92190170288086,-66.8644027709961,YWK,CYWK,airport,OurAirports
162,Williams Lake Airport,52.1831016541,-122.054000854,YWL,CYWL,airport,OurAirports
163,Wrigley Airport,63.20940017700195,-123.43699645996094,YWY,CYWY,airport,OurAirports
164,Cranbrook/Canadian Rockies International Airport,49.610801696777,-115.78199768066,YXC,CYXC,airport,OurAirports
165,Edmonton City Centre (Blatchford Field) Airport,53.5724983215,-113.521003723,YXD,CYXD,airport,OurAirports
166,Saskatoon John G. Diefenbaker International Airport,52.170799255371094,-106.69999694824219,YXE,CYXE,airport,OurAirports
167,Medicine Hat Airport,50.01890182495117,-110.72100067138672,YXH,CYXH,airport,OurAirports
168,Fort St John Airport,56.23809814453125,-120.73999786376953,YXJ,CYXJ,airport,OurAirports
169,Sioux Lookout Airport,50.11389923095703,-91.9052963256836,YXL,CYXL,airport,OurAirports
170,Pangnirtung Airport,66.1449966431,-65.71360015869999,YXP,CYXP,airport,OurAirports
171,Earlton (Timiskaming Regional) Airport,47.697400654599996,-79.8473453522,YXR,CYXR,airport,OurAirports
172,Prince George Airport,53.8894004822,-122.679000854,YXS,CYXS,airport,OurAirports
173,Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,YXT,CYXT,airport,OurAirports
174,London Airport,43.035599,-81.1539,YXU,CYXU,airport,OurAirports
175,Abbotsford Airport,49.025299072265625,-122.36100006103516,YXX,CYXX,airport,OurAirports
176,Whitehorse / Erik Nielsen International Airport,60.7095985413,-135.067001343,YXY,CYXY,airport,OurAirports
177,North Bay Airport,46.36360168457031,-79.42279815673828,YYB,CYYB,airport,OurAirports
178,Calgary International Airport,51.113899231,-114.019996643,YYC,CYYC,airport,OurAirports
179,Smithers Airport,54.82469940185547,-127.18299865722656,YYD,CYYD,airport,OurAirports
180,Fort Nelson Airport,58.8363990784,-122.597000122,YYE,CYYE,airport,OurAirports
181,Penticton Airport,49.46310043334961,-119.60199737548828,YYF,CYYF,airport,OurAirports
182,Charlottetown Airport,46.290000915527344,-63.12110137939453,YYG,CYYG,airport,OurAirports
183,Taloyoak Airport,69.5466995239,-93.5766983032,YYH,CYYH,airport,OurAirports
184,Victoria International Airport,48.646900177,-123.426002502,YYJ,CYYJ,airport,OurAirports
185,Lynn Lake Airport,56.86389923095703,-101.07599639892578,YYL,CYYL,airport,OurAirports
186,Swift Current Airport,50.291900634799994,-107.691001892,YYN,CYYN,airport,OurAirports
187,Churchill Airport,58.739200592041016,-94.06500244140625,YYQ,CYYQ,airport,OurAirports
188,Goose Bay Airport,53.3191986084,-60.4258003235,YYR,CYYR,airport,OurAirports
189,St. John's International Airport,47.618598938,-52.7518997192,YYT,CYYT,airport,OurAirports
190,Kapuskasing Airport,49.41389846801758,-82.46749877929688,YYU,CYYU,airport,OurAirports
191,Armstrong Airport,50.29029846191406,-88.90969848632812,YYW,CYYW,airport,OurAirports
192,Mont Joli Airport,48.60860061645508,-68.20809936523438,YYY,CYYY,airport,OurAirports
193,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,YYZ,CYYZ,airport,OurAirports
194,Downsview Airport,43.74250030517578,-79.4655990600586,YZD,CYZD,airport,OurAirports
195,Gore Bay Manitoulin Airport,45.88529968261719,-82.56780242919922,YZE,CYZE,airport,OurAirports
196,Yellowknife Airport,62.462799072265625,-114.44000244140625,YZF,CYZF,airport,OurAirports
197,Slave Lake Airport,55.2930984497,-114.777000427,YZH,CYZH,airport,OurAirports
198,Sandspit Airport,53.25429916379999,-131.813995361,YZP,CYZP,airport,OurAirports
199,Chris Hadfield Airport,42.9994010925293,-82.30889892578125,YZR,CYZR,airport,OurAirports
200,Port Hardy Airport,50.680599212646484,-127.36699676513672,YZT,CYZT,airport,OurAirports
201,Whitecourt Airport,54.14390182495117,-115.78700256347656,YZU,CYZU,airport,OurAirports
202,Sept-Îles Airport,50.22330093383789,-66.2656021118164,YZV,CYZV,airport,OurAirports
203,Teslin Airport,60.17279815673828,-132.7429962158203,YZW,CYZW,airport,OurAirports
204,CFB Greenwood,44.98440170288086,-64.91690063476562,YZX,CYZX,airport,OurAirports
205,Faro Airport,62.20750045776367,-133.37600708007812,ZFA,CZFA,airport,OurAirports
206,Fort Mcpherson Airport,67.40750122070312,-134.86099243164062,ZFM,CZFM,airport,OurAirports
207,Blida Airport,36.50360107421875,2.8141698837280273,QLD,DAAB,airport,OurAirports
208,Bou Saada Airport,35.33250045776367,4.206389904022217,BUJ,DAAD,airport,OurAirports
209,Soummam Airport,36.7120018005,5.0699200630200005,BJA,DAAE,airport,OurAirports
210,Houari Boumediene Airport,36.691001892089844,3.215409994125366,ALG,DAAG,airport,OurAirports
211,Djanet Inedbirene Airport,24.292801,9.45244,DJG,DAAJ,airport,OurAirports
212,Boufarik Airport,36.545799,2.87611,,DAAK,airport,OurAirports
213,Reggane Airport,26.7101,0.285647,,DAAN,airport,OurAirports
214,Illizi Takhamalt Airport,26.7234992981,8.62265014648,VVZ,DAAP,airport,OurAirports
